model,method,n,seed,acc,ece,brier
gemma4,LP-temp,500,4,0.5046248715313464,0.0485519095596658,0.6092032049529579
gemma4,GPP-cosine,1500,4,0.4727646454265159,0.27589816969933273,0.7346378881183614
gemma4,GPP-rbf,1500,4,0.49023638232271327,0.07910306275442225,0.6133571976341099
gemma4,GPP-laplace,1500,4,0.5220966084275437,0.05248329052577163,0.5882437167420277
gemma4,LPE,1500,4,0.513874614594039,0.06611342120146091,0.5978747873345185
gemma4,LP-temp,1500,4,0.5107913669064749,0.028018595028834057,0.5920864653145842
gemma4,GPP-cosine,2400,4,0.5025693730729702,0.21282441440858674,0.6785754947513505
gemma4,GPP-rbf,2400,4,0.5241521068859198,0.07444768611108167,0.5899751286382853
gemma4,GPP-laplace,2400,4,0.5878725590955807,0.0961615973116805,0.5529935769315645
gemma4,LPE,2400,4,0.5005138746145941,0.06958216514518795,0.5893649202006636
gemma4,LP-temp,2400,4,0.5035971223021583,0.05160928806183853,0.5858263365620295
qwen36,GPP-cosine,100,0,0.5508735868448099,0.2797573859375525,0.6983015486919627
qwen36,GPP-rbf,100,0,0.539568345323741,0.0715969868333587,0.5612432313440701
qwen36,GPP-laplace,100,0,0.5477903391572456,0.09173888678663435,0.5744711696932222
qwen36,LPE,100,0,0.5375128468653648,0.13389947354977325,0.5894637315222613
qwen36,LP-temp,100,0,0.5169578622816033,0.0306388333227051,0.5894799914227005
qwen36,GPP-cosine,500,0,0.6310380267214799,0.16371556433474782,0.5318637651992906
qwen36,GPP-rbf,500,0,0.593011305241521,0.044858143208328274,0.5258702957348467
qwen36,GPP-laplace,500,0,0.6300102774922919,0.0629701059989302,0.5059064759565367
qwen36,LPE,500,0,0.6084275436793423,0.11618660973865474,0.5404714594860764
qwen36,LP-temp,500,0,0.6032887975334018,0.03954204697560745,0.5155643725682372
qwen36,GPP-cosine,1500,0,0.6485097636176773,0.07425392807326363,0.4757116078887628
qwen36,GPP-rbf,1500,0,0.6258992805755396,0.04197287329789422,0.4918995660680168
qwen36,GPP-laplace,1500,0,0.6330935251798561,0.043101187998319815,0.474372605601339
qwen36,LPE,1500,0,0.644398766700925,0.06199291951854819,0.47751409228724595
qwen36,LP-temp,1500,0,0.6392600205549845,0.04622321929758729,0.4697746715161375
qwen36,GPP-cosine,2400,0,0.6402877697841727,0.0648727311933641,0.476324379804094
qwen36,GPP-rbf,2400,0,0.6495375128468653,0.058268542157415254,0.4798780647196815
qwen36,GPP-laplace,2400,0,0.6783144912641316,0.05486941705137216,0.4585399897931203
qwen36,LPE,2400,0,0.6413155190133607,0.06329650023735807,0.4771041904274769
qwen36,LP-temp,2400,0,0.645426515930113,0.042947575860390386,0.4719035893544354
qwen36,GPP-cosine,100,1,0.5960945529290853,0.23939091316352523,0.6280952728770443
qwen36,GPP-rbf,100,1,0.579650565262076,0.04127541377390032,0.5340738183634977
qwen36,GPP-laplace,100,1,0.5878725590955807,0.1319472454986004,0.5615156324070721
qwen36,LPE,100,1,0.5477903391572456,0.12471891944234442,0.5894583358674039
qwen36,LP-temp,100,1,0.5282631038026722,0.02573417149766877,0.5900963132509747
qwen36,GPP-cosine,500,1,0.6002055498458376,0.1788006176193841,0.5817785960971553
qwen36,GPP-rbf,500,1,0.5755395683453237,0.03383696992007704,0.534594869464556
