dataset,model,layer,heldout,seed,method,auroc,id_acc
goemotions,llama,16,3,0,LPE -var,0.4698012696463128,0.205799812909261
goemotions,llama,16,3,1,GPP neg-latent-var,0.5228079320760646,0.19270346117867165
goemotions,llama,16,3,1,GPP -MI,0.5258410157170503,0.19270346117867165
goemotions,llama,16,3,1,Maha,0.4862449032055356,0.19270346117867165
goemotions,llama,16,3,1,MSP,0.5113414834438977,0.19270346117867165
goemotions,llama,16,3,1,kNN,0.4857486128864102,0.19270346117867165
goemotions,llama,16,3,1,LPE -var,0.48247273973678756,0.19270346117867165
goemotions,llama,16,3,2,GPP neg-latent-var,0.5247306107584315,0.20346117867165575
goemotions,llama,16,3,2,GPP -MI,0.5290187019330329,0.20346117867165575
goemotions,llama,16,3,2,Maha,0.4843150836552675,0.20346117867165575
goemotions,llama,16,3,2,MSP,0.4750658745063875,0.20346117867165575
goemotions,llama,16,3,2,kNN,0.4864734109783703,0.20346117867165575
goemotions,llama,16,3,2,LPE -var,0.4796520969158591,0.20346117867165575
goemotions,llama,16,0,0,GPP neg-latent-var,0.46717432559033367,0.20173436786855317
goemotions,llama,16,0,0,GPP -MI,0.4686330988668302,0.20173436786855317
goemotions,llama,16,0,0,Maha,0.5181156492742167,0.20173436786855317
goemotions,llama,16,0,0,MSP,0.5350771643019836,0.20173436786855317
goemotions,llama,16,0,0,kNN,0.49852484828102783,0.20173436786855317
goemotions,llama,16,0,0,LPE -var,0.43303946767878154,0.20173436786855317
goemotions,llama,16,0,1,GPP neg-latent-var,0.4693755882590589,0.1615700593336376
goemotions,llama,16,0,1,GPP -MI,0.47783996733046674,0.1615700593336376
goemotions,llama,16,0,1,Maha,0.5217876960772538,0.1615700593336376
goemotions,llama,16,0,1,MSP,0.5392416562754547,0.1615700593336376
goemotions,llama,16,0,1,kNN,0.49256527901222713,0.1615700593336376
goemotions,llama,16,0,1,LPE -var,0.495301570801823,0.1615700593336376
goemotions,llama,16,0,2,GPP neg-latent-var,0.4693996099746899,0.1757188498402556
goemotions,llama,16,0,2,GPP -MI,0.4686265474898399,0.1757188498402556
goemotions,llama,16,0,2,Maha,0.5209676820573071,0.1757188498402556
goemotions,llama,16,0,2,MSP,0.5249050596284497,0.1757188498402556
goemotions,llama,16,0,2,kNN,0.501807088153145,0.1757188498402556
