dataset,model,variant,K,method,best_layer,soft_ce,tvd,acc,corrAlea_entropy,corrMI_entropy,corrAleaS_entropy,mono_alea
goemotions,gemma,mean256,28,LP-temp,0,3.105820477538348,0.7175084272969865,0.22708333333333333,0.18058302015939948,,0.16189035217648495,1.0
goemotions,gemma,mean256,28,LPE,25,3.654726417361683,0.6591091542394609,0.2504166666666667,0.15355426282008372,0.11376615464675024,0.14215518866836296,1.0
goemotions,llama,mean256,28,GPP-cosine,0,2.9140582329167106,0.6786092880774474,0.22458333333333333,0.1615988112839411,-0.16571812866402225,0.13296411724824558,0.7999999999999999
goemotions,llama,mean256,28,GPP-laplace,48,3.0424510207820825,0.7924575598915302,0.21166666666666667,0.12924564963789442,0.12458824208390981,0.08787169606738995,1.0
goemotions,llama,mean256,28,GPP-rbf,16,2.8483778762474468,0.6900797840614481,0.2829166666666667,0.17558768393996865,0.023559000902471497,0.15618687261766734,1.0
goemotions,llama,mean256,28,LP-temp,0,3.08559125726819,0.7160764779229192,0.231875,0.16789351504719086,,0.13631271068371126,1.0
goemotions,llama,mean256,28,LPE,16,3.625837504467668,0.6517431268078199,0.2627083333333333,0.14949630354076632,0.10535851350144364,0.1329956100797154,1.0
goemotions,qwen,mean256,28,GPP-cosine,0,2.9141879985268395,0.6788615098867983,0.22645833333333332,0.12758321683082893,-0.1877967011668484,0.10587920765587881,0.7999999999999999
goemotions,qwen,mean256,28,GPP-laplace,0,3.0919055582132793,0.8036766719510585,0.209375,-0.034380249227509166,-0.09433476076983828,-0.06533179333892809,-0.7999999999999999
goemotions,qwen,mean256,28,GPP-rbf,38,2.8911334506335886,0.7064431412497834,0.26583333333333337,0.14162934673604316,-0.1508185229965729,0.15223712679164397,1.0
goemotions,qwen,mean256,28,LP-temp,0,3.114411089269505,0.7332049182300759,0.20500000000000002,0.1713827713838073,,0.13534506744819746,1.0
goemotions,qwen,mean256,28,LPE,29,3.6914754625666126,0.6618041691191394,0.24520833333333333,0.17954912159976716,0.012484794232356471,0.16765908945478541,1.0
