K,rep,n_obs,method,acc,brier,ece,mi
8,0,512,GPP-cosine,0.657,0.5062760283834244,0.15511301510781048,0.008767797611653805
8,0,512,GPP-rbf,0.9815,0.06151761182918443,0.13128540919721127,0.04234371334314346
8,0,512,LPE,0.8225,0.31147280904477476,0.1650012970864773,0.045647453516721725
8,0,512,LP,0.82,0.3081668494561987,0.15005870483750602,
8,0,512,SVM,0.8995,0.18469785338914207,0.11095988926797737,
8,1,32,GPP-cosine,0.475,0.7235994638814136,0.059575344741344446,0.11035061627626419
8,1,32,GPP-rbf,0.4585,0.6353909955276738,0.07645533748716116,0.4254406988620758
8,1,32,LPE,0.475,0.7148194127816422,0.06466944447904825,0.3158514201641083
8,1,32,LP,0.483,0.7203983938157638,0.07410038385898896,
8,1,32,SVM,0.337,0.818396488877281,0.10285755212099108,
8,1,128,GPP-cosine,0.5275,0.5948496458200696,0.08458779042959215,0.033819761127233505
8,1,128,GPP-rbf,0.8335,0.2662852622489659,0.1653904303610325,0.1877593994140625
8,1,128,LPE,0.662,0.48576680875718514,0.14349356465786697,0.17541038990020752
8,1,128,LP,0.666,0.4722032899460386,0.11218653512673052,
8,1,128,SVM,0.728,0.4802477359057225,0.26783084298774235,
8,1,512,GPP-cosine,0.6315,0.5248410317014687,0.13317767338454725,0.008852209895849228
8,1,512,GPP-rbf,0.9865,0.055987667337039186,0.13595650333166123,0.04871013015508652
8,1,512,LPE,0.7915,0.3356751084121614,0.1500321209952235,0.04839704930782318
8,1,512,LP,0.787,0.33389200662314433,0.1334328856221862,
8,1,512,SVM,0.9,0.19540565688003098,0.14857646813647588,
8,2,32,GPP-cosine,0.412,0.8404903192174252,0.14345027761906387,0.09915515035390854
8,2,32,GPP-rbf,0.42,0.6684201182653373,0.140418535977602,0.4038074314594269
8,2,32,LPE,0.372,0.8752075805215558,0.2055183961391449,0.267609179019928
8,2,32,LP,0.408,0.8630008023346166,0.2026999694619154,
8,2,32,SVM,0.288,0.8600728318795632,0.09755516316373482,
