regime,method,rep,n_obs,auroc
far-OOD (uniform noise),MSP,2,16,0.8138640624999999
far-OOD (uniform noise),LPE,2,16,0.1989296875
far-OOD (uniform noise),kNN,2,16,0.20271250000000002
far-OOD (uniform noise),GPP (neg latent var),2,32,0.6798445312499999
far-OOD (uniform noise),GPP (Episteme),2,32,0.30015000000000003
far-OOD (uniform noise),Maha,2,32,0.5842953125000001
far-OOD (uniform noise),MSP,2,32,0.48343593749999997
far-OOD (uniform noise),LPE,2,32,0.20187968750000002
far-OOD (uniform noise),kNN,2,32,0.5675609375
far-OOD (uniform noise),GPP (neg latent var),2,64,0.667075
far-OOD (uniform noise),GPP (Episteme),2,64,0.67963125
far-OOD (uniform noise),Maha,2,64,0.08028906249999998
far-OOD (uniform noise),MSP,2,64,0.32778437500000007
far-OOD (uniform noise),LPE,2,64,0.1725328125
far-OOD (uniform noise),kNN,2,64,0.36789374999999996
far-OOD (uniform noise),GPP (neg latent var),2,128,0.5400640624999999
far-OOD (uniform noise),GPP (Episteme),2,128,0.7203609375000001
far-OOD (uniform noise),Maha,2,128,0.09611874999999999
far-OOD (uniform noise),MSP,2,128,0.8040765625
far-OOD (uniform noise),LPE,2,128,0.6231765624999999
far-OOD (uniform noise),kNN,2,128,0.63080625
far-OOD (uniform noise),GPP (neg latent var),3,8,0.482203125
far-OOD (uniform noise),GPP (Episteme),3,8,0.7433515625
far-OOD (uniform noise),Maha,3,8,0.35018281250000005
far-OOD (uniform noise),MSP,3,8,0.4444437499999999
far-OOD (uniform noise),LPE,3,8,0.08761406249999999
far-OOD (uniform noise),kNN,3,8,0.180634375
far-OOD (uniform noise),GPP (neg latent var),3,16,0.555815625
far-OOD (uniform noise),GPP (Episteme),3,16,0.385565625
far-OOD (uniform noise),Maha,3,16,0.3067390625
far-OOD (uniform noise),MSP,3,16,0.3074234375
far-OOD (uniform noise),LPE,3,16,0.181553125
far-OOD (uniform noise),kNN,3,16,0.1014859375
far-OOD (uniform noise),GPP (neg latent var),3,32,0.5437484375
far-OOD (uniform noise),GPP (Episteme),3,32,0.54173671875
far-OOD (uniform noise),Maha,3,32,0.246628125
far-OOD (uniform noise),MSP,3,32,0.2345265625
far-OOD (uniform noise),LPE,3,32,0.06456875
far-OOD (uniform noise),kNN,3,32,0.38765781250000003
far-OOD (uniform noise),GPP (neg latent var),3,64,0.6334421875
far-OOD (uniform noise),GPP (Episteme),3,64,0.49069375000000004
far-OOD (uniform noise),Maha,3,64,0.2470921875
far-OOD (uniform noise),MSP,3,64,0.5270984375000001
far-OOD (uniform noise),LPE,3,64,0.29555624999999996
far-OOD (uniform noise),kNN,3,64,0.5582125
far-OOD (uniform noise),GPP (neg latent var),3,128,0.49772343750000003
far-OOD (uniform noise),GPP (Episteme),3,128,0.6788953125
far-OOD (uniform noise),Maha,3,128,0.09779531249999998
far-OOD (uniform noise),MSP,3,128,0.5236171875
far-OOD (uniform noise),LPE,3,128,0.39965625
far-OOD (uniform noise),kNN,3,128,0.6548156250000001
far-OOD (uniform noise),GPP (neg latent var),4,8,0.1598953125
far-OOD (uniform noise),GPP (Episteme),4,8,0.30598593749999997
far-OOD (uniform noise),Maha,4,8,0.38260625000000004
far-OOD (uniform noise),MSP,4,8,0.7840218749999999
far-OOD (uniform noise),LPE,4,8,0.5390562499999999
far-OOD (uniform noise),kNN,4,8,0.03632656250000002
far-OOD (uniform noise),GPP (neg latent var),4,16,0.2285484375
far-OOD (uniform noise),GPP (Episteme),4,16,0.436734375
far-OOD (uniform noise),Maha,4,16,0.584234375
far-OOD (uniform noise),MSP,4,16,0.6394046875000001
far-OOD (uniform noise),LPE,4,16,0.0935109375
far-OOD (uniform noise),kNN,4,16,0.1425765625
far-OOD (uniform noise),GPP (neg latent var),4,32,0.38574218749999994
far-OOD (uniform noise),GPP (Episteme),4,32,0.6927640625
far-OOD (uniform noise),Maha,4,32,0.40782031249999995
far-OOD (uniform noise),MSP,4,32,0.6844234375
far-OOD (uniform noise),LPE,4,32,0.1843546875
far-OOD (uniform noise),kNN,4,32,0.36891562499999997
far-OOD (uniform noise),GPP (neg latent var),4,64,0.49639765625
far-OOD (uniform noise),GPP (Episteme),4,64,0.44841796875
far-OOD (uniform noise),Maha,4,64,0.10687031250000001
far-OOD (uniform noise),MSP,4,64,0.768553125
far-OOD (uniform noise),LPE,4,64,0.5580140625000001
far-OOD (uniform noise),kNN,4,64,0.601634375
far-OOD (uniform noise),GPP (neg latent var),4,128,0.42144375
far-OOD (uniform noise),GPP (Episteme),4,128,0.63354375
far-OOD (uniform noise),Maha,4,128,0.10785781250000001
far-OOD (uniform noise),MSP,4,128,0.6137328125
far-OOD (uniform noise),LPE,4,128,0.27262734375000003
far-OOD (uniform noise),kNN,4,128,0.5723734375
