dataset,model,layer,heldout,seed,method,auroc,id_acc
goemotions,gemma,0,1,1,kNN,0.5300288981027768,0.23350923482849603
goemotions,gemma,0,1,1,LPE -var,0.5256592815959571,0.23350923482849603
goemotions,gemma,0,1,2,GPP neg-latent-var,0.5893293406486019,0.2198768689533861
goemotions,gemma,0,1,2,GPP -MI,0.6288827462969944,0.2198768689533861
goemotions,gemma,0,1,2,Maha,0.6412202817216011,0.2198768689533861
goemotions,gemma,0,1,2,MSP,0.4956094428389942,0.2198768689533861
goemotions,gemma,0,1,2,kNN,0.5284234479485139,0.2198768689533861
goemotions,gemma,0,1,2,LPE -var,0.523352319526462,0.2198768689533861
goemotions,gemma,0,10,0,GPP neg-latent-var,0.42944851191846634,0.23753280839895013
goemotions,gemma,0,10,0,GPP -MI,0.4083859035164464,0.23753280839895013
goemotions,gemma,0,10,0,Maha,0.41807493361575415,0.23753280839895013
goemotions,gemma,0,10,0,MSP,0.5321675799297018,0.23753280839895013
goemotions,gemma,0,10,0,kNN,0.3882212091909564,0.23753280839895013
goemotions,gemma,0,10,0,LPE -var,0.455340286411567,0.23753280839895013
goemotions,gemma,0,10,1,GPP neg-latent-var,0.4474835382419302,0.24496937882764655
goemotions,gemma,0,10,1,GPP -MI,0.461627603567098,0.24496937882764655
goemotions,gemma,0,10,1,Maha,0.4274454728246688,0.24496937882764655
goemotions,gemma,0,10,1,MSP,0.5211393531948857,0.24496937882764655
goemotions,gemma,0,10,1,kNN,0.40259167165507814,0.24496937882764655
goemotions,gemma,0,10,1,LPE -var,0.46656229374836916,0.24496937882764655
goemotions,gemma,0,10,2,GPP neg-latent-var,0.41369664318276006,0.2410323709536308
goemotions,gemma,0,10,2,GPP -MI,0.42974206075117805,0.2410323709536308
goemotions,gemma,0,10,2,Maha,0.4009531703273933,0.2410323709536308
goemotions,gemma,0,10,2,MSP,0.5433416217709628,0.2410323709536308
goemotions,gemma,0,10,2,kNN,0.38819818575309667,0.2410323709536308
goemotions,gemma,0,10,2,LPE -var,0.48376463906923917,0.2410323709536308
goemotions,gemma,0,7,0,GPP neg-latent-var,0.5589707162238263,0.2310704960835509
goemotions,gemma,0,7,0,GPP -MI,0.553460809911432,0.2310704960835509
goemotions,gemma,0,7,0,Maha,0.5027176231676308,0.2310704960835509
goemotions,gemma,0,7,0,MSP,0.5461057355927577,0.2310704960835509
goemotions,gemma,0,7,0,kNN,0.49176607109336334,0.2310704960835509
goemotions,gemma,0,7,0,LPE -var,0.510874758954931,0.2310704960835509
goemotions,gemma,0,7,1,GPP neg-latent-var,0.5551075956927592,0.22758920800696258
goemotions,gemma,0,7,1,GPP -MI,0.47218809194696154,0.22758920800696258
goemotions,gemma,0,7,1,Maha,0.502521374084882,0.22758920800696258
goemotions,gemma,0,7,1,MSP,0.41813000221846786,0.22758920800696258
goemotions,gemma,0,7,1,kNN,0.4878709534292395,0.22758920800696258
goemotions,gemma,0,7,1,LPE -var,0.4696411201556341,0.22758920800696258
goemotions,gemma,0,7,2,GPP neg-latent-var,0.5547918906465981,0.2175805047867711
goemotions,gemma,0,7,2,GPP -MI,0.527150633969863,0.2175805047867711
goemotions,gemma,0,7,2,Maha,0.519996075018345,0.2175805047867711
