dataset,model,layer,heldout,seed,method,auroc,id_acc
goemotions,qwen,10,3,1,kNN,0.46913895414848716,0.19083255378858746
goemotions,qwen,10,3,1,LPE -var,0.4954012810717015,0.19083255378858746
goemotions,qwen,10,3,2,GPP neg-latent-var,0.5238165796670927,0.1931711880261927
goemotions,qwen,10,3,2,GPP -MI,0.5241084626425496,0.1931711880261927
goemotions,qwen,10,3,2,Maha,0.47486414498818186,0.1931711880261927
goemotions,qwen,10,3,2,MSP,0.5251822706531752,0.1931711880261927
goemotions,qwen,10,3,2,kNN,0.46736087804111714,0.1931711880261927
goemotions,qwen,10,3,2,LPE -var,0.5092527795828304,0.1931711880261927
goemotions,qwen,10,0,0,GPP neg-latent-var,0.4662887978004844,0.2012779552715655
goemotions,qwen,10,0,0,GPP -MI,0.46137854074628915,0.2012779552715655
goemotions,qwen,10,0,0,Maha,0.5086183364306788,0.2012779552715655
goemotions,qwen,10,0,0,MSP,0.5381650466567232,0.2012779552715655
goemotions,qwen,10,0,0,kNN,0.5011388477001392,0.2012779552715655
goemotions,qwen,10,0,0,LPE -var,0.47094573494438974,0.2012779552715655
goemotions,qwen,10,0,1,GPP neg-latent-var,0.46708042252014004,0.16293929712460065
goemotions,qwen,10,0,1,GPP -MI,0.46647114446004645,0.16293929712460065
goemotions,qwen,10,0,1,Maha,0.5088367156636873,0.16293929712460065
goemotions,qwen,10,0,1,MSP,0.555150583400121,0.16293929712460065
goemotions,qwen,10,0,1,kNN,0.50219361939557,0.16293929712460065
goemotions,qwen,10,0,1,LPE -var,0.47146766131127993,0.16293929712460065
goemotions,qwen,10,0,2,GPP neg-latent-var,0.4670061735809171,0.163852122318576
goemotions,qwen,10,0,2,GPP -MI,0.4647841648850561,0.163852122318576
goemotions,qwen,10,0,2,Maha,0.5160825386149079,0.163852122318576
goemotions,qwen,10,0,2,MSP,0.533048421227335,0.163852122318576
goemotions,qwen,10,0,2,kNN,0.4995708848071384,0.163852122318576
goemotions,qwen,10,0,2,LPE -var,0.5104854788729012,0.163852122318576
goemotions,qwen,10,4,0,GPP neg-latent-var,0.5007776658962975,0.19745801180208805
goemotions,qwen,10,4,0,GPP -MI,0.4966612210852299,0.19745801180208805
goemotions,qwen,10,4,0,Maha,0.5148148233488712,0.19745801180208805
goemotions,qwen,10,4,0,MSP,0.4730858474023655,0.19745801180208805
goemotions,qwen,10,4,0,kNN,0.5149853337972446,0.19745801180208805
goemotions,qwen,10,4,0,LPE -var,0.5342461018776887,0.19745801180208805
goemotions,qwen,10,4,1,GPP neg-latent-var,0.4988444460829833,0.18384021788470267
goemotions,qwen,10,4,1,GPP -MI,0.5004112988518195,0.18384021788470267
goemotions,qwen,10,4,1,Maha,0.5249717160033271,0.18384021788470267
goemotions,qwen,10,4,1,MSP,0.49385355917519025,0.18384021788470267
goemotions,qwen,10,4,1,kNN,0.515978441949257,0.18384021788470267
goemotions,qwen,10,4,1,LPE -var,0.5252712613856048,0.18384021788470267
goemotions,qwen,10,4,2,GPP neg-latent-var,0.5002592219654325,0.18338629142078983
goemotions,qwen,10,4,2,GPP -MI,0.5031360097329207,0.18338629142078983
goemotions,qwen,10,4,2,Maha,0.5179139659578194,0.18338629142078983
goemotions,qwen,10,4,2,MSP,0.48494784454055495,0.18338629142078983
goemotions,qwen,10,4,2,kNN,0.514796389786885,0.18338629142078983
goemotions,qwen,10,4,2,LPE -var,0.499217725713206,0.18338629142078983
goemotions,qwen,10,2,0,GPP neg-latent-var,0.46386817914595696,0.14462081128747795
goemotions,qwen,10,2,0,GPP -MI,0.46470491956603066,0.14462081128747795
goemotions,qwen,10,2,0,Maha,0.5236157875046764,0.14462081128747795
goemotions,qwen,10,2,0,MSP,0.47291032013254236,0.14462081128747795
goemotions,qwen,10,2,0,kNN,0.510889316444872,0.14462081128747795
goemotions,qwen,10,2,0,LPE -var,0.5010722302388969,0.14462081128747795
goemotions,qwen,10,2,1,GPP neg-latent-var,0.4664351851851851,0.15652557319223986
goemotions,qwen,10,2,1,GPP -MI,0.46895208700764257,0.15652557319223986
goemotions,qwen,10,2,1,Maha,0.5273435412324301,0.15652557319223986
goemotions,qwen,10,2,1,MSP,0.4318014804125915,0.15652557319223986
goemotions,qwen,10,2,1,kNN,0.504880150713484,0.15652557319223986
goemotions,qwen,10,2,1,LPE -var,0.5062930896264228,0.15652557319223986
goemotions,qwen,10,2,2,GPP neg-latent-var,0.46350742878520657,0.15476190476190477
goemotions,qwen,10,2,2,GPP -MI,0.46711660253326925,0.15476190476190477
goemotions,qwen,10,2,2,Maha,0.49649604510715617,0.15476190476190477
goemotions,qwen,10,2,2,MSP,0.48386644219977554,0.15476190476190477
goemotions,qwen,10,2,2,kNN,0.5019073005184117,0.15476190476190477
goemotions,qwen,10,2,2,LPE -var,0.538109267275934,0.15476190476190477
goemotions,qwen,10,1,0,GPP neg-latent-var,0.44778796889614825,0.1802990325417766
goemotions,qwen,10,1,0,GPP -MI,0.4472749228685904,0.1802990325417766
goemotions,qwen,10,1,0,Maha,0.49046502212729126,0.1802990325417766
goemotions,qwen,10,1,0,MSP,0.48319512501570544,0.1802990325417766
goemotions,qwen,10,1,0,kNN,0.4655875249542796,0.1802990325417766
goemotions,qwen,10,1,0,LPE -var,0.49072329019558575,0.1802990325417766
goemotions,qwen,10,1,1,GPP neg-latent-var,0.4480287864192877,0.13280562884784522
goemotions,qwen,10,1,1,GPP -MI,0.44612144183384295,0.13280562884784522
goemotions,qwen,10,1,1,Maha,0.48633273303457997,0.13280562884784522
goemotions,qwen,10,1,1,MSP,0.5188675294216191,0.13280562884784522
goemotions,qwen,10,1,1,kNN,0.45463556281498235,0.13280562884784522
goemotions,qwen,10,1,1,LPE -var,0.4797189764208234,0.13280562884784522
goemotions,qwen,10,1,2,GPP neg-latent-var,0.4470794767628541,0.14819700967458224
goemotions,qwen,10,1,2,GPP -MI,0.4494318102497522,0.14819700967458224
